Applicant_ID,Age,Gender,Education,Marital_Status,Employment_Type,Annual_Income,Credit_Score,Loan_Amount_Requested,Loan_Term_Months,Dependents,Property_Area,Approval_Status
LAPP_0001,59,Female,Postgraduate,Married,Salaried,134856,664,344955,36,3,Semi-Urban,Rejected
LAPP_0002,49,Male,Undergraduate,Married,Unemployed,7770,630,20607,60,3,Semi-Urban,Approved
LAPP_0003,35,Female,Graduate,Single,Business Owner,152146,622,457514,24,1,Rural,Rejected
LAPP_0004,63,Male,Postgraduate,Married,Salaried,78108,699,280202,84,0,Urban,Rejected
LAPP_0005,28,Male,Graduate,Divorced,Business Owner,117022,741,94627,60,0,Semi-Urban,Approved
LAPP_0006,41,Male,Graduate,Married,Salaried,116934,657,196333,24,2,Semi-Urban,Rejected
LAPP_0007,59,Male,Undergraduate,Single,Salaried,73035,679,138174,36,1,Semi-Urban,Rejected
LAPP_0008,39,Male,Graduate,Married,Business Owner,151576,720,500000,24,1,Semi-Urban,Approved
LAPP_0009,43,Female,Undergraduate,Married,Salaried,62884,588,241853,36,1,Urban,Rejected
LAPP_0010,31,Male,Graduate,Divorced,Salaried,105821,682,97496,36,2,Urban,Rejected
LAPP_0011,31,Female,Graduate,Married,Salaried,64170,456,58835,36,2,Urban,Rejected
LAPP_0012,44,Male,Graduate,Married,Self-Employed,52485,430,197974,36,0,Urban,Rejected
LAPP_0013,56,Male,Graduate,Married,Salaried,89539,628,137460,24,0,Urban,Rejected
LAPP_0014,60,Male,Undergraduate,Single,Salaried,53017,675,71379,60,1,Rural,Approved
LAPP_0015,44,Female,Postgraduate,Married,Self-Employed,99372,643,62075,36,3,Urban,Approved
LAPP_0016,23,Male,High School,Single,Salaried,31985,640,46844,60,0,Semi-Urban,Approved
LAPP_0017,42,Male,Postgraduate,Single,Self-Employed,93289,559,273088,24,0,Semi-Urban,Rejected
LAPP_0018,22,Female,Graduate,Single,Business Owner,80583,680,160450,36,0,Urban,Approved
LAPP_0019,44,Male,Graduate,Single,Salaried,114847,773,265187,36,0,Rural,Rejected
LAPP_0020,64,Male,Graduate,Single,Salaried,111616,624,414155,36,0,Rural,Rejected
LAPP_0021,50,Male,Graduate,Married,Salaried,112371,715,101292,36,1,Urban,Approved
LAPP_0022,58,Female,Undergraduate,Single,Self-Employed,49567,628,37142,36,0,Rural,Approved
LAPP_0023,22,Female,Graduate,Married,Business Owner,158624,701,500000,84,1,Semi-Urban,Approved
LAPP_0024,41,Male,Graduate,Single,Salaried,110017,767,353374,24,0,Urban,Rejected
LAPP_0025,53,Male,High School,Married,Salaried,39231,638,55828,60,0,Semi-Urban,Approved
LAPP_0026,32,Female,Undergraduate,Single,Salaried,51662,661,84458,36,1,Semi-Urban,Rejected
LAPP_0027,42,Female,Graduate,Married,Salaried,85850,550,136155,36,1,Semi-Urban,Rejected
LAPP_0028,64,Male,Graduate,Married,Salaried,102193,718,282801,36,0,Semi-Urban,Rejected
LAPP_0029,45,Female,Graduate,Single,Business Owner,130934,783,93518,60,2,Urban,Approved
LAPP_0030,47,Male,Postgraduate,Single,Salaried,136911,612,302971,36,0,Rural,Approved
LAPP_0031,62,Male,Graduate,Married,Self-Employed,96083,638,93061,60,0,Rural,Approved
LAPP_0032,48,Female,Graduate,Single,Salaried,79782,687,268792,12,1,Semi-Urban,Rejected
LAPP_0033,36,Male,Graduate,Single,Salaried,87299,666,159959,36,2,Urban,Rejected
LAPP_0034,35,Female,Undergraduate,Divorced,Salaried,80439,533,188750,36,1,Semi-Urban,Rejected
LAPP_0035,64,Female,Graduate,Single,Self-Employed,88542,669,53356,36,0,Semi-Urban,Approved
LAPP_0036,23,Female,Postgraduate,Married,Salaried,132955,631,93590,36,1,Rural,Approved
LAPP_0037,57,Male,Postgraduate,Married,Salaried,127437,609,364812,36,0,Rural,Rejected
LAPP_0038,27,Male,Postgraduate,Single,Salaried,125089,747,398245,36,2,Rural,Rejected
LAPP_0039,41,Male,Graduate,Single,Self-Employed,96720,645,288721,36,0,Semi-Urban,Rejected
LAPP_0040,29,Female,Postgraduate,Married,Salaried,101987,707,314075,36,2,Rural,Rejected
LAPP_0041,59,Male,Undergraduate,Married,Salaried,54970,548,47613,36,0,Urban,Rejected
LAPP_0042,38,Male,Graduate,Single,Business Owner,80810,673,236537,36,3,Semi-Urban,Rejected
LAPP_0043,24,Female,Undergraduate,Married,Business Owner,63041,684,71621,24,0,Urban,Approved
LAPP_0044,45,Male,Graduate,Married,Salaried,108880,639,91791,60,2,Rural,Approved
LAPP_0045,34,Female,Graduate,Married,Self-Employed,65160,584,205258,60,0,Rural,Rejected
LAPP_0046,29,Male,Undergraduate,Married,Salaried,38352,505,138562,24,0,Urban,Rejected
LAPP_0047,46,Female,Graduate,Married,Self-Employed,54063,560,162647,24,0,Semi-Urban,Rejected
LAPP_0048,22,Male,Undergraduate,Single,Business Owner,54355,570,180431,24,2,Rural,Rejected
LAPP_0049,40,Male,Graduate,Married,Salaried,79198,563,314321,60,0,Semi-Urban,Rejected
LAPP_0050,48,Male,Postgraduate,Married,Self-Employed,70614,579,68611,60,0,Semi-Urban,Approved
LAPP_0051,27,Male,High School,Married,Salaried,40865,608,158475,12,0,Semi-Urban,Rejected
LAPP_0052,64,Female,Postgraduate,Married,Salaried,149115,717,388324,60,3,Semi-Urban,Approved
LAPP_0053,28,Female,Graduate,Married,Self-Employed,114050,723,381655,12,0,Rural,Rejected
LAPP_0054,55,Female,Graduate,Married,Business Owner,132461,626,367657,24,0,Semi-Urban,Rejected
LAPP_0055,34,Male,Undergraduate,Single,Salaried,61185,617,152664,84,3,Urban,Approved
LAPP_0056,37,Male,Graduate,Married,Salaried,70527,595,208947,60,3,Urban,Rejected
LAPP_0057,56,Male,Graduate,Married,Salaried,77250,609,125214,60,0,Urban,Approved
LAPP_0058,60,Female,Undergraduate,Married,Unemployed,15241,583,56924,36,2,Semi-Urban,Rejected
LAPP_0059,24,Female,Undergraduate,Single,Self-Employed,43419,582,39230,36,0,Rural,Rejected
LAPP_0060,22,Male,High School,Single,Self-Employed,30164,603,48657,60,0,Semi-Urban,Approved
LAPP_0061,26,Male,Graduate,Married,Salaried,79864,599,48642,36,2,Rural,Approved
LAPP_0062,62,Female,Graduate,Divorced,Business Owner,147110,780,213255,24,2,Rural,Approved
LAPP_0063,24,Female,Graduate,Married,Business Owner,134028,537,169377,36,0,Semi-Urban,Rejected
LAPP_0064,49,Female,High School,Single,Self-Employed,31985,681,21548,60,0,Semi-Urban,Approved
LAPP_0065,38,Female,Postgraduate,Married,Salaried,68471,598,152088,84,0,Semi-Urban,Rejected
LAPP_0066,46,Male,Postgraduate,Single,Salaried,97087,635,207788,36,2,Urban,Rejected
LAPP_0067,64,Male,High School,Single,Salaried,43826,627,33838,60,3,Semi-Urban,Approved
LAPP_0068,54,Female,Undergraduate,Married,Self-Employed,80779,693,114421,12,0,Semi-Urban,Rejected
LAPP_0069,30,Female,Undergraduate,Single,Salaried,67659,556,259582,36,2,Semi-Urban,Rejected
LAPP_0070,56,Male,Graduate,Single,Self-Employed,61767,588,54823,36,0,Semi-Urban,Approved
LAPP_0071,34,Female,Undergraduate,Married,Salaried,36543,635,57283,12,1,Urban,Rejected
LAPP_0072,51,Female,Undergraduate,Married,Self-Employed,52030,504,32545,60,0,Semi-Urban,Approved
LAPP_0073,35,Female,Undergraduate,Married,Salaried,73900,622,75459,84,1,Semi-Urban,Approved
LAPP_0074,28,Female,High School,Single,Salaried,37351,539,110106,24,0,Urban,Rejected
LAPP_0075,34,Male,High School,Single,Salaried,41807,532,74563,60,3,Semi-Urban,Approved
LAPP_0076,43,Male,Postgraduate,Married,Salaried,117075,546,243781,36,0,Urban,Rejected
LAPP_0077,60,Male,Postgraduate,Single,Salaried,71685,697,75227,36,0,Rural,Approved
LAPP_0078,41,Female,Undergraduate,Single,Business Owner,56808,629,164032,60,2,Urban,Rejected
LAPP_0079,36,Female,Graduate,Single,Salaried,86046,586,269351,24,1,Semi-Urban,Rejected
LAPP_0080,38,Female,Graduate,Single,Salaried,62866,608,71283,60,0,Semi-Urban,Approved
LAPP_0081,44,Male,Undergraduate,Single,Salaried,67851,551,44610,36,1,Urban,Approved
LAPP_0082,46,Female,Undergraduate,Married,Salaried,65469,590,51281,60,2,Semi-Urban,Approved
LAPP_0083,45,Female,Graduate,Married,Salaried,68244,615,191060,36,1,Semi-Urban,Rejected
LAPP_0084,61,Female,High School,Single,Salaried,22362,614,21787,24,0,Urban,Rejected
LAPP_0085,49,Female,Graduate,Married,Salaried,52821,649,117723,36,0,Urban,Rejected
LAPP_0086,35,Female,Graduate,Divorced,Salaried,98218,514,101581,24,3,Semi-Urban,Rejected
LAPP_0087,21,Male,Undergraduate,Married,Self-Employed,53796,628,58934,24,0,Urban,Approved
LAPP_0088,45,Male,Graduate,Married,Salaried,68632,508,35363,24,1,Semi-Urban,Rejected
LAPP_0089,27,Male,Graduate,Divorced,Salaried,106750,671,173242,60,1,Rural,Approved
LAPP_0090,29,Male,Graduate,Single,Salaried,87943,615,71611,60,0,Urban,Approved
LAPP_0091,44,Female,Postgraduate,Married,Business Owner,184143,781,345979,84,0,Semi-Urban,Approved
LAPP_0092,21,Female,Graduate,Single,Self-Employed,103814,587,269111,60,3,Semi-Urban,Rejected
LAPP_0093,64,Male,Undergraduate,Single,Self-Employed,65460,696,116935,60,0,Semi-Urban,Approved
LAPP_0094,28,Male,Undergraduate,Single,Salaried,53280,524,158123,12,2,Urban,Rejected
LAPP_0095,44,Female,Graduate,Married,Business Owner,143205,685,443231,60,2,Semi-Urban,Rejected
LAPP_0096,31,Male,High School,Single,Salaried,31742,451,93261,60,0,Urban,Rejected
LAPP_0097,37,Male,Graduate,Single,Salaried,95863,702,362218,24,0,Urban,Rejected
LAPP_0098,28,Male,High School,Married,Self-Employed,41985,718,55862,36,3,Semi-Urban,Approved
LAPP_0099,55,Male,Undergraduate,Single,Salaried,76836,594,89367,36,2,Urban,Rejected
LAPP_0100,55,Male,High School,Single,Unemployed,3909,602,10296,84,0,Urban,Approved
LAPP_0101,53,Male,Graduate,Single,Salaried,64182,663,165722,36,0,Urban,Rejected
LAPP_0102,25,Male,Undergraduate,Single,Unemployed,9495,466,21699,84,1,Urban,Rejected
LAPP_0103,62,Female,Graduate,Married,Self-Employed,57897,582,29830,24,1,Urban,Rejected
LAPP_0104,59,Male,Graduate,Married,Salaried,52534,573,128358,12,1,Urban,Rejected
LAPP_0105,61,Female,Undergraduate,Single,Salaried,47702,795,179588,84,3,Urban,Rejected
LAPP_0106,48,Male,Graduate,Single,Salaried,55233,695,92295,12,1,Semi-Urban,Rejected
LAPP_0107,27,Male,Undergraduate,Single,Business Owner,94007,616,365367,36,2,Urban,Rejected
LAPP_0108,29,Female,Graduate,Single,Salaried,46910,657,82029,36,1,Semi-Urban,Rejected
LAPP_0109,28,Male,Graduate,Married,Self-Employed,53905,620,53338,60,0,Semi-Urban,Approved
LAPP_0110,32,Male,Postgraduate,Married,Unemployed,30045,635,56917,24,2,Semi-Urban,Rejected
LAPP_0111,54,Female,Graduate,Married,Salaried,69040,563,154037,12,1,Urban,Rejected
LAPP_0112,53,Female,Undergraduate,Married,Salaried,35853,709,96915,36,0,Rural,Rejected
LAPP_0113,43,Male,Undergraduate,Single,Self-Employed,66396,573,150524,36,0,Semi-Urban,Rejected
LAPP_0114,44,Male,Postgraduate,Married,Salaried,93172,594,221611,36,1,Urban,Rejected
LAPP_0115,57,Female,Graduate,Single,Salaried,48750,666,28481,60,1,Urban,Approved
LAPP_0116,55,Male,Undergraduate,Married,Salaried,39312,642,54552,60,3,Semi-Urban,Approved
LAPP_0117,64,Female,High School,Single,Salaried,21273,614,33769,60,2,Rural,Approved
LAPP_0118,60,Female,Undergraduate,Single,Self-Employed,60661,694,239902,24,0,Semi-Urban,Rejected
LAPP_0119,42,Female,Undergraduate,Married,Salaried,75956,550,116553,36,2,Semi-Urban,Rejected
LAPP_0120,47,Male,Undergraduate,Married,Unemployed,11877,722,43208,84,0,Urban,Approved
LAPP_0121,55,Female,Undergraduate,Married,Salaried,52396,590,82082,36,0,Semi-Urban,Rejected
LAPP_0122,21,Male,Undergraduate,Single,Self-Employed,62124,600,51959,24,0,Urban,Rejected
LAPP_0123,55,Male,Graduate,Married,Salaried,77232,773,105549,84,1,Semi-Urban,Approved
LAPP_0124,57,Male,Graduate,Single,Salaried,63096,585,91798,36,0,Urban,Rejected
LAPP_0125,34,Female,Postgraduate,Divorced,Salaried,123004,729,482651,60,0,Urban,Approved
LAPP_0126,23,Male,Graduate,Single,Self-Employed,107936,622,308699,24,0,Semi-Urban,Rejected
LAPP_0127,21,Male,Undergraduate,Married,Business Owner,103230,575,388236,36,0,Semi-Urban,Rejected
LAPP_0128,25,Male,Graduate,Divorced,Salaried,76322,592,261210,84,3,Urban,Rejected
LAPP_0129,46,Female,Undergraduate,Married,Salaried,51366,658,129704,36,3,Rural,Rejected
LAPP_0130,34,Female,Graduate,Married,Salaried,47525,677,136104,24,1,Urban,Rejected
LAPP_0131,59,Female,Graduate,Single,Salaried,95212,673,255827,24,1,Semi-Urban,Rejected
LAPP_0132,47,Male,High School,Single,Self-Employed,39706,500,112444,24,2,Semi-Urban,Rejected
LAPP_0133,29,Male,Postgraduate,Married,Business Owner,118725,695,169385,36,2,Semi-Urban,Approved
LAPP_0134,35,Female,Undergraduate,Married,Salaried,36613,590,70605,60,2,Rural,Rejected
LAPP_0135,35,Male,Undergraduate,Married,Unemployed,9920,504,25535,24,0,Urban,Rejected
LAPP_0136,46,Male,Undergraduate,Single,Salaried,52740,644,33002,24,0,Urban,Approved
LAPP_0137,62,Female,Undergraduate,Married,Self-Employed,79406,728,173892,36,0,Semi-Urban,Approved
LAPP_0138,33,Female,Undergraduate,Divorced,Salaried,67334,619,236277,36,0,Urban,Rejected
LAPP_0139,52,Female,Graduate,Divorced,Salaried,74942,703,166617,36,0,Urban,Rejected
LAPP_0140,59,Female,Undergraduate,Single,Salaried,32445,648,78942,60,2,Semi-Urban,Approved
LAPP_0141,52,Female,Postgraduate,Married,Salaried,62687,664,75642,60,2,Semi-Urban,Approved
LAPP_0142,24,Male,High School,Single,Self-Employed,36332,570,119176,24,0,Semi-Urban,Rejected
LAPP_0143,50,Female,Graduate,Divorced,Self-Employed,105398,715,185086,36,0,Urban,Approved
LAPP_0144,57,Female,Undergraduate,Single,Salaried,66531,700,256015,36,1,Urban,Rejected
LAPP_0145,43,Male,Undergraduate,Married,Business Owner,55821,675,222056,12,0,Urban,Rejected
LAPP_0146,59,Female,Graduate,Married,Salaried,114669,649,424963,36,0,Semi-Urban,Rejected
LAPP_0147,35,Female,Graduate,Married,Self-Employed,116023,721,92478,60,2,Urban,Approved
LAPP_0148,63,Female,Graduate,Single,Salaried,84779,681,141253,12,1,Rural,Rejected
LAPP_0149,49,Female,Graduate,Single,Salaried,50552,551,192501,12,2,Urban,Rejected
LAPP_0150,56,Female,Graduate,Single,Salaried,84179,622,279126,60,2,Rural,Approved
LAPP_0151,33,Female,Undergraduate,Married,Salaried,75670,587,279157,36,2,Semi-Urban,Rejected
LAPP_0152,52,Male,Undergraduate,Married,Self-Employed,65159,493,163153,36,0,Urban,Rejected
LAPP_0153,27,Female,Undergraduate,Married,Salaried,67139,684,146456,36,0,Urban,Approved
LAPP_0154,42,Male,High School,Married,Salaried,19836,812,17311,84,0,Urban,Approved
LAPP_0155,48,Male,Graduate,Married,Salaried,53115,705,182617,24,0,Semi-Urban,Rejected
LAPP_0156,22,Male,Graduate,Single,Self-Employed,54605,613,169712,24,1,Semi-Urban,Rejected
LAPP_0157,62,Male,Undergraduate,Single,Self-Employed,76266,610,53848,24,2,Semi-Urban,Approved
LAPP_0158,26,Male,Graduate,Single,Salaried,83098,560,102455,60,3,Semi-Urban,Rejected
LAPP_0159,48,Female,Graduate,Married,Salaried,102097,664,250185,36,2,Semi-Urban,Rejected
LAPP_0160,48,Female,Graduate,Married,Self-Employed,53743,688,155607,84,1,Semi-Urban,Approved
LAPP_0161,64,Female,Graduate,Married,Salaried,111826,625,109795,60,1,Urban,Approved
LAPP_0162,64,Male,Postgraduate,Single,Salaried,136276,850,184911,36,0,Rural,Approved
LAPP_0163,40,Female,Graduate,Married,Salaried,61570,524,72399,24,1,Semi-Urban,Rejected
LAPP_0164,50,Female,Undergraduate,Single,Salaried,74772,652,94959,36,2,Rural,Rejected
LAPP_0165,31,Female,Graduate,Married,Salaried,64336,619,239490,24,0,Urban,Rejected
LAPP_0166,48,Male,Undergraduate,Single,Self-Employed,41664,613,125215,84,1,Rural,Rejected
LAPP_0167,45,Male,Graduate,Single,Salaried,64393,586,198322,36,2,Rural,Rejected
LAPP_0168,59,Male,Undergraduate,Married,Self-Employed,76542,651,250979,24,0,Semi-Urban,Rejected
LAPP_0169,53,Male,Graduate,Single,Salaried,110964,631,193965,36,3,Semi-Urban,Rejected
LAPP_0170,21,Male,Graduate,Married,Business Owner,137609,747,438304,24,0,Rural,Rejected
LAPP_0171,47,Female,Undergraduate,Single,Salaried,64949,742,254888,36,2,Rural,Rejected
LAPP_0172,33,Male,Graduate,Married,Salaried,103169,615,303768,12,0,Semi-Urban,Rejected
LAPP_0173,61,Male,Graduate,Married,Salaried,66700,524,130641,36,0,Semi-Urban,Rejected
LAPP_0174,23,Male,Graduate,Single,Salaried,81974,643,246517,36,0,Rural,Rejected
LAPP_0175,59,Male,High School,Single,Salaried,35861,637,130992,36,2,Urban,Rejected
LAPP_0176,26,Male,Graduate,Married,Self-Employed,47377,608,45039,36,2,Urban,Approved
LAPP_0177,28,Male,Undergraduate,Single,Salaried,50148,641,71637,12,1,Rural,Rejected
LAPP_0178,47,Male,Graduate,Married,Unemployed,11425,689,42472,36,3,Rural,Rejected
LAPP_0179,29,Female,Graduate,Married,Unemployed,7088,634,27018,36,2,Rural,Rejected
LAPP_0180,57,Female,Graduate,Single,Salaried,114003,706,250178,36,0,Semi-Urban,Rejected
LAPP_0181,53,Male,High School,Married,Unemployed,2866,643,5190,84,1,Semi-Urban,Approved
LAPP_0182,62,Male,Graduate,Married,Salaried,66411,658,98934,24,0,Rural,Rejected
LAPP_0183,64,Female,Graduate,Single,Salaried,101719,599,228423,36,1,Urban,Rejected
LAPP_0184,44,Male,Graduate,Married,Salaried,99299,750,374442,36,0,Semi-Urban,Rejected
LAPP_0185,35,Male,Graduate,Single,Salaried,60432,623,61902,36,0,Semi-Urban,Approved
LAPP_0186,52,Female,Graduate,Married,Salaried,59570,562,117317,60,1,Urban,Approved
LAPP_0187,52,Male,Undergraduate,Married,Unemployed,10684,518,39430,24,0,Urban,Rejected
LAPP_0188,44,Female,Graduate,Married,Salaried,102148,586,175890,60,1,Semi-Urban,Approved
LAPP_0189,61,Female,Graduate,Single,Salaried,47225,540,150566,12,3,Semi-Urban,Rejected
LAPP_0190,32,Male,Undergraduate,Single,Business Owner,96744,684,180176,36,0,Urban,Rejected
LAPP_0191,59,Male,Graduate,Married,Salaried,116527,659,386548,60,2,Semi-Urban,Rejected
LAPP_0192,22,Female,Graduate,Married,Salaried,94032,682,369875,24,1,Semi-Urban,Rejected
LAPP_0193,23,Male,Graduate,Divorced,Self-Employed,62076,689,115298,60,0,Semi-Urban,Rejected
LAPP_0194,57,Male,Undergraduate,Married,Salaried,36855,680,127438,24,2,Urban,Rejected
LAPP_0195,37,Female,Graduate,Single,Salaried,91325,682,361597,60,0,Semi-Urban,Rejected
LAPP_0196,22,Male,Undergraduate,Married,Salaried,57397,624,226339,36,0,Urban,Rejected
LAPP_0197,22,Male,Graduate,Single,Salaried,109788,625,221574,36,0,Urban,Rejected
LAPP_0198,48,Female,Undergraduate,Married,Unemployed,11381,584,25040,84,1,Urban,Approved
LAPP_0199,43,Male,Graduate,Single,Business Owner,112169,697,175197,36,1,Semi-Urban,Approved
LAPP_0200,57,Female,Undergraduate,Single,Salaried,42702,553,68283,24,0,Urban,Rejected
LAPP_0201,52,Female,Postgraduate,Married,Salaried,61119,626,135907,60,0,Urban,Approved
LAPP_0202,53,Female,Undergraduate,Married,Salaried,59958,577,72058,24,2,Urban,Rejected
LAPP_0203,21,Male,Graduate,Single,Unemployed,10562,655,31569,36,2,Rural,Rejected
LAPP_0204,39,Female,Graduate,Single,Salaried,54464,666,129465,84,1,Rural,Approved
LAPP_0205,22,Male,Graduate,Married,Salaried,59056,754,215155,36,0,Urban,Rejected
LAPP_0206,64,Female,Graduate,Married,Self-Employed,47772,576,159417,24,0,Urban,Rejected
LAPP_0207,46,Male,Graduate,Single,Unemployed,14327,548,23333,24,2,Rural,Rejected
LAPP_0208,52,Male,Postgraduate,Married,Salaried,112002,668,254279,24,0,Urban,Rejected
LAPP_0209,26,Male,Graduate,Single,Salaried,91042,579,284670,36,0,Urban,Rejected
LAPP_0210,52,Female,Graduate,Married,Salaried,115032,703,135300,24,1,Urban,Rejected
LAPP_0211,24,Female,Undergraduate,Single,Salaried,34879,587,21296,60,2,Rural,Approved
LAPP_0212,31,Male,Undergraduate,Divorced,Self-Employed,52186,572,181767,36,1,Semi-Urban,Rejected
LAPP_0213,37,Male,Graduate,Divorced,Self-Employed,63081,696,61909,84,0,Urban,Approved
LAPP_0214,58,Female,Postgraduate,Married,Self-Employed,104072,533,376005,60,1,Urban,Rejected
LAPP_0215,44,Male,Graduate,Single,Salaried,111313,694,411594,84,1,Rural,Rejected
LAPP_0216,25,Male,Undergraduate,Married,Salaried,67337,574,142246,24,1,Semi-Urban,Rejected
LAPP_0217,54,Female,Postgraduate,Single,Salaried,121392,728,403474,36,0,Semi-Urban,Rejected
LAPP_0218,26,Male,Undergraduate,Single,Salaried,53341,678,94475,36,2,Urban,Approved
LAPP_0219,42,Female,Undergraduate,Married,Self-Employed,64720,465,226774,24,1,Semi-Urban,Rejected
LAPP_0220,31,Male,Graduate,Divorced,Salaried,47814,589,161916,36,1,Urban,Rejected
LAPP_0221,36,Male,Graduate,Married,Salaried,87416,639,67731,60,1,Semi-Urban,Approved
LAPP_0222,53,Male,Undergraduate,Single,Salaried,58911,463,149581,12,0,Urban,Rejected
LAPP_0223,29,Female,Graduate,Single,Salaried,70284,633,192577,24,0,Urban,Rejected
LAPP_0224,26,Male,Postgraduate,Single,Salaried,78341,585,39405,24,0,Semi-Urban,Approved
LAPP_0225,36,Female,Graduate,Married,Business Owner,82551,547,324401,60,0,Rural,Rejected
LAPP_0226,49,Male,Graduate,Married,Salaried,50481,574,97074,84,1,Semi-Urban,Approved
LAPP_0227,23,Female,Graduate,Single,Self-Employed,76997,560,177917,12,2,Urban,Rejected
LAPP_0228,40,Male,Graduate,Married,Salaried,63557,582,75112,36,0,Semi-Urban,Rejected
LAPP_0229,56,Male,Undergraduate,Married,Salaried,68399,650,180451,84,3,Semi-Urban,Approved
